"authorName","paperTitle","assignedDept","teacherDept","teacherId"
"Swati Singh","Green synthesis of metallic nanoparticles: Applications and limitations","Department of Life Sciences","Architecture","1643"
"Ankur Sharma","The FBXW7-NOTCH interactome: A ubiquitin proteasomal system-induced crosstalk modulating oncogenic transformation in human tissues","Department of Medical Sciences","Life Sciences","5123"
"Jaskaran Singh","Identification of Wild Animals from Pugmarks- A Review","Department of Medical Sciences","NA","7010"
"Ajoy Deshmukh","A case of hairy cell leukaemia associated with miliary tuberculosis","Department of Medical Sciences","NA","100"
"Deepak Khandelwal","Comparative evaluation of marginal integrity of three esthetic restorative materials - An In-vitro study","Department of Dental Science","NA","5526"
"Ankur Sharma","Middle East Respiratory Syndrome (MERS) Virus—Pathophysiological Axis and the Current Treatment Strategies","Department of Medical Sciences","Life Sciences","5123"
"Swati Singh","A prescient evolutionary model for genesis, duplication and differentiation of MIR160 homologs in Brassicaceae","Department of Life Sciences","Architecture","1643"
"Madhurima Nanda","An Overview of Nanotechnological Advances in Orthodontics","Department of Dental Science","NA","5825"
"Sakshi Tiwari","An Overview of Nanotechnological Advances in Orthodontics","Department of Dental Science","NA","5573"
"Gladys Rai","Assessing the Impact of Inflammatory Markers and CT Severity Score on Disease Severity of COVID-19 Patients Admitted to ICU at a Tertiary Hospital","Department of Chemistry and Biochemistry","NA","3139"
"Manjit Singh Bindra","Assessing the Impact of Inflammatory Markers and CT Severity Score on Disease Severity of COVID-19 Patients Admitted to ICU at a Tertiary Hospital","Department of Medical Sciences","NA","5347"
"Gladys Rai","Assessing the impact of inflammatory markers and CT severity score on disease severity of COVID-19 patients admitted to ICU at a tertiary hospital","Department of Chemistry and Biochemistry","NA","3139"
"Manjit Singh Bindra","Assessing the impact of inflammatory markers and CT severity score on disease severity of COVID-19 patients admitted to ICU at a tertiary hospital","Department of Medical Sciences","NA","5347"
"Ankur Sharma","Oral Nanoemulsion of Fenofibrate: Formulation, Characterization, and in Vitro Drug Release Studies","Department of Medical Sciences","Life Sciences","5123"
